,name,address,gd_point_x,gd_point_y,region,dataType
1491,藕池小学,海曙区古林镇藕池新村恒江小区12幢,121.510059,29.840311,海曙区,小学
1492,海曙区石碶红星小学,海曙区横小线(雅杰商务楼西南),121.484875,29.824542,海曙区,小学
1493,鄞江镇中心小学,海曙区竹节岭路,121.359535,29.781994,海曙区,小学
1494,古林镇中心小学,海曙区文卫路128号,121.442587,29.826423,海曙区,小学
1495,古林镇东恩小学,海曙区宋严王工业区19号,121.486867,29.844998,海曙区,小学
1496,宁波市新芝小学,海曙区广仁街46号,121.548003,29.880446,海曙区,小学
1497,横街镇中心小学,海曙区车站南路12号,121.400257,29.853421,海曙区,小学
1498,布政小学,海曙区段梅路金隆家园对面,121.468128,29.837913,海曙区,小学
1499,古林镇实验小学,海曙区古林镇薛家村,121.500922,29.854912,海曙区,小学
1500,集士港镇中心小学,海曙区祝家桥村28号,121.450139,29.866288,海曙区,小学
1501,信谊小学,海曙区徐家漕路136号,121.499178,29.884757,海曙区,小学
1502,章水镇郑家小学,海曙区章水镇郑家村,121.318566,29.809216,海曙区,小学
1503,古林镇蜃蛟小学,海曙区古林镇蜃蛟村,121.403625,29.818154,海曙区,小学
1504,广济中心小学华天分校,海曙区国丰街70号,121.51815,29.866795,海曙区,小学
1505,海曙中心小学教育集团薛家小学,海曙区古林镇薛家村薛家小学,121.500839,29.854603,海曙区,小学
1506,岐阳小学,海曙区高桥镇岐阳村岐山路67号,121.429028,29.919979,海曙区,小学
1507,南苑小学,海曙区粮丰街129弄39号,121.528348,29.847952,海曙区,小学
1508,宁波市海曙区冯家小学,海曙区冯家村双江岸19号正南方向197米东北方向20米,121.490737,29.821922,海曙区,小学
1509,宁波市海曙区龙观中心学校,海曙区龙兴路213号,121.313859,29.765306,海曙区,小学
1510,宸卿小学,海曙区石碶街道,121.506749,29.832526,海曙区,小学
1511,横街镇校,海曙区横交段与横街南路交叉口东150米,121.400219,29.852758,海曙区,小学
1512,宁波市广济中心小学,海曙区丽园北路七十五弄138号,121.514166,29.871756,海曙区,小学
1513,洞桥镇宁锋小学,海曙区张家垫570号,121.413438,29.757683,海曙区,小学
1514,金谷小学,海曙区后隆496号,121.318022,29.782524,海曙区,小学
1515,鄞州区阳明学校,海曙区藕缆桥路88号,121.496706,29.868668,海曙区,小学
1516,宁波市尹江岸小学,海曙区甬水桥路,121.538651,29.857509,海曙区,小学
1517,立星学校,海曙区星光村沈家西113号,121.485067,29.802376,海曙区,小学
1518,高桥镇成才学校,海曙区高桥镇秀丰村三成路175号,121.474998,29.887259,海曙区,小学
1519,镇明中心小学南塘校区,海曙区甬水桥路65号,121.538755,29.856672,海曙区,小学
1520,宁波市实验学校小学部,海曙区中山西路1182弄86号,121.515791,29.883972,海曙区,小学
1521,宁波海曙赫德实验学校,海曙区解放南路10号,121.550289,29.860132,海曙区,小学
1522,章水镇中心小学,海曙区章水镇通远路36号,121.313555,29.811996,海曙区,小学
1523,海曙中心小学分校,海曙区广升大道与集高南路交叉路口往东北约100米,121.426553,29.88098,海曙区,小学
1524,洞桥镇百梁天成希望小学,海曙区桥北38洞桥镇百梁天成希望小学附近,121.390333,29.76739,海曙区,小学
1525,宁波市海曙中心小学(西校区),海曙区广仁街103号附近,121.548045,29.880454,海曙区,小学
1526,宁波市海曙区石碶红星学校,海曙区石契后仓村世纪华联超市对面,121.484873,29.824515,海曙区,小学
1527,宁波市海曙外国语学校(五江口校区),海曙区五江口路267号,121.50758,29.897152,海曙区,小学
1528,横街镇新阳小学,海曙区横街镇育才路6号,121.401575,29.854037,海曙区,小学
1529,字丰希望小学,海曙区分天段东100米,121.182734,29.803861,海曙区,小学
1530,鄞江中学,海曙区四明东路79弄1号,121.362814,29.782141,海曙区,中学
