,name,address,point_x,point_y,specify,dataType
158,国家法官学院浙江分院,浙江省杭州市西湖区马塍路5,120.14432,30.27682,西湖区,大专
159,国家法官学院浙江分院东区,浙江省杭州市西湖区马塍路6,120.14484,30.27764,西湖区,大专
160,启蒙东方俊园幼儿园,浙江省杭州市临平区红丰南路87号,120.31115,30.42553,余杭区,幼儿园
161,启蒙铭苑幼儿园,浙江省杭州市余杭区横板桥社区联胜路江南水乡,120.02227,30.25135,余杭区,幼儿园
162,五常幼儿园,浙江省杭州市余杭区荆长路源谊路口正东方向84米,120.03476,30.26916,余杭区,幼儿园
163,良渚通运幼儿园,浙江省杭州市余杭区通运街360,120.11474,30.34657,余杭区,幼儿园
164,余杭区东湖世纪星幼儿园,浙江省杭州市临平区东湖北路321号,120.2972,30.44552,余杭区,幼儿园
165,杭州市大井幼儿园,浙江省杭州市临平区乔司泥桥村,120.24525,30.35103,余杭区,幼儿园
166,余杭区勾庄中心幼儿园,浙江省杭州市余杭区沈家村145,120.08274,30.35804,余杭区,幼儿园
167,杭州市余杭区荷花幼儿园,浙江省杭州市临平区荷花小区41幢,120.28729,30.43147,余杭区,幼儿园
168,临平第二幼儿园,浙江省杭州市临平区九曲营路247,120.30674,30.42919,余杭区,幼儿园
169,临平街道中心幼儿园,浙江省杭州市临平区映荷街138西南方向80米,120.28332,30.43138,余杭区,幼儿园
170,余杭区东湖水漾幼儿园,浙江省杭州市临平区水漾人家12幢,120.30915,30.43,余杭区,幼儿园
171,闲林中心幼儿园和睦分园,浙江省杭州市余杭区金家浜16,119.997313,30.255394,余杭区,幼儿园
172,崇贤镇中心幼儿园沿山分园,浙江省杭州市临平区浙江省杭州市余杭区,120.18973,30.40482,余杭区,幼儿园
173,塘栖第一幼儿园,浙江省杭州市临平区油车桥20,120.18545,30.4783,余杭区,幼儿园
174,崇贤中心幼儿园周家村分园,浙江省杭州市临平区鱼池埂8号,120.1546,30.41933,余杭区,幼儿园
175,仁和中心幼儿园平宅分园,浙江省杭州市余杭区仁和镇平宅顿力南路正北方向171米,120.12961,30.44192,余杭区,幼儿园
176,余杭区临平街道中心幼儿园,浙江省杭州市临平区新洲路951,120.27073,30.44283,余杭区,幼儿园
177,小海豚幼儿园,浙江省杭州市余杭区荆余路72号正东方向30米,119.94585,30.26083,余杭区,幼儿园
178,贝尔树幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,120.089643,30.348323,余杭区,幼儿园
179,仁和中心幼儿园东山分园,浙江省杭州市余杭区浙江省杭州市余杭区,120.09418,30.4309,余杭区,幼儿园
180,临平第三幼儿园木桥浜路分园,浙江省杭州市临平区木桥浜路176,120.29448,30.42295,余杭区,幼儿园
181,杭州市余杭区塘栖镇第三幼儿园,浙江省杭州市临平区康乐小区,120.22802,30.45917,余杭区,幼儿园
182,南苑街道中心幼儿园万常分园,浙江省杭州市临平区浙江省杭州市余杭区,120.307133,30.358044,余杭区,幼儿园
183,杭州市余杭区良渚良运幼儿园,浙江省杭州市余杭区良渚镇勾庄勾运路48号嘉好服饰厂内,120.10511,30.35601,余杭区,幼儿园
184,五洋幼儿园,浙江省杭州市临平区繁荣路57,120.26939,30.49793,余杭区,幼儿园
185,余杭区中泰中心幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,119.93178,30.24017,余杭区,幼儿园
186,西溪北苑幼儿园,浙江省杭州市余杭区西溪北苑3-3东北方向178米,120.03125,30.29164,余杭区,幼儿园
187,仁和第一幼儿园东风分园,浙江省杭州市余杭区浙江省杭州市余杭区,120.07677,30.43838,余杭区,幼儿园
188,兴旺幼儿园,浙江省杭州市临平区余杭开发区东湖北路471号西南方向90米,120.29528,30.45933,余杭区,幼儿园
189,仓前镇中心幼儿园高桥分园,浙江省杭州市余杭区三仓路28号正北方向26米,120.015,30.31642,余杭区,幼儿园
190,天都城蒙特梭利幼儿园,浙江省杭州市临平区留月街122,120.24662,30.38231,余杭区,幼儿园
191,闲林中心幼儿园民丰分园,浙江省杭州市余杭区民丰文化活动中心正东方向124米,119.99247,30.23842,余杭区,幼儿园
192,新阳光幼儿园,浙江省杭州市余杭区莫干山路1632,120.08212,30.35527,余杭区,幼儿园
193,康乔幼儿园,浙江省杭州市余杭区良睦路418,120.00334,30.2361,余杭区,幼儿园
194,余杭区闲林中心幼儿园里项分院,浙江省杭州市余杭区浙江省杭州市余杭区,119.98164,30.20314,余杭区,幼儿园
195,星桥中心幼儿园惠都分园,浙江省杭州市临平区太平路119,120.26412,30.3982,余杭区,幼儿园
196,余杭区大樟树幼儿园,浙江省杭州市临平区杭沪复线东西大道正东方向151米,120.29874,30.38,余杭区,幼儿园
197,杭州市余杭区美孚天童幼儿园,浙江省杭州市临平区北沙西路152-16,120.26688,30.43228,余杭区,幼儿园
198,美好晨晖幼儿园,浙江省杭州市临平区星韵路6,120.25118,30.39222,余杭区,幼儿园
199,余杭区南湖幼儿园下陡门分园,浙江省杭州市余杭区余杭镇斗门村老村委2楼西北方向75米,119.92003,30.33145,余杭区,幼儿园
200,树兰幼儿园,浙江省杭州市临平区星光街352号,120.28397,30.42864,余杭区,幼儿园
201,杭州市余杭区五常街道中心幼儿园文一分园,浙江省杭州市余杭区西溪北苑21-6,120.03677,30.29072,余杭区,幼儿园
202,瓶窑镇中心幼儿园北湖分园,浙江省杭州市余杭区浙江省杭州市余杭区,119.94975,30.39101,余杭区,幼儿园
203,仁和第二幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,120.11732,30.45946,余杭区,幼儿园
204,幼儿园,浙江省杭州市临平区三角村1组6号东北方向172米,120.27986,30.32777,余杭区,幼儿园
205,临平街道中心幼儿园顺达园区,浙江省杭州市临平区顺达路158,120.2722,30.43627,余杭区,幼儿园
206,万泰幼儿园,浙江省杭州市临平区世纪大道西1015-51,120.27696,30.39246,余杭区,幼儿园
207,微时代幼儿园,浙江省杭州市临平区龙船坞路96东北方向173米,120.2304,30.46284,余杭区,幼儿园
208,北山幼儿园天都分园,浙江省杭州市临平区星桥街道广厦天都城天风苑2幢商2-20号正北方向44米,120.24357,30.38911,余杭区,幼儿园
209,曙光幼儿园,浙江省杭州市临平区崇贤镇崇贤一小对面111号,120.1755,30.38457,余杭区,幼儿园
210,径山镇双溪幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,119.82,30.4099,余杭区,幼儿园
211,余杭区临平第三幼儿园朝阳分园,浙江省杭州市临平区朝阳东路22,120.30308,30.42556,余杭区,幼儿园
212,瓶窑镇第二幼儿园,浙江省杭州市余杭区羊城路169正北方向30米,119.967597,30.37815,余杭区,幼儿园
213,金宝贝幼儿园,浙江省杭州市临平区迎宾路273-90,120.30052,30.4125,余杭区,幼儿园
214,杭州未来科技城双语幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,120.02278,30.27569,余杭区,幼儿园
215,西城幼儿园,浙江省杭州市余杭区金昌路66号,120.084999,30.343884,余杭区,幼儿园
216,勾庄中心幼儿园中星桥分园,浙江省杭州市余杭区中星桥13东南方向32米,120.10781,30.38566,余杭区,幼儿园
217,贝尔树幼儿园,浙江省杭州市余杭区南庄兜东苑188正东方向25米,120.11772,30.386,余杭区,幼儿园
218,杭州市余杭区南苑街道中心幼儿园红联分园,浙江省嘉兴市临平区浙江省杭州市余杭区,120.3093,30.39489,余杭区,幼儿园
219,杭州市余杭区五常街道中心幼儿园西溪园区,浙江省杭州市余杭区荆长路38,120.0363,30.24926,余杭区,幼儿园
220,星桥中心幼儿园汤家分园,浙江省杭州市临平区浙江省杭州市余杭区,120.24264,30.4053,余杭区,幼儿园
221,良渚云华幼儿园安溪分园,浙江省杭州市余杭区安溪路2号,120.00667,30.40702,余杭区,幼儿园
222,塘栖镇第一幼儿园西苑园区,浙江省杭州市临平区浙江省杭州市余杭区,120.17792,30.46438,余杭区,幼儿园
223,崇贤第一幼儿园,浙江省杭州市临平区众望街136,120.16789,30.39027,余杭区,幼儿园
224,杭州市余杭区吴家库幼儿园,浙江省杭州市余杭区良运家园73东北方向113米,120.11325,30.35385,余杭区,幼儿园
225,杭州市余杭区新明半岛幼儿园,浙江省杭州市余杭区闲林镇以西一零二省道南侧新明大道新明半岛,119.94797,30.2435,余杭区,幼儿园
226,杭州师大附属小博士艺术幼儿园,浙江省杭州市临平区人民大道357,120.29166,30.41,余杭区,幼儿园
227,理想湾幼儿园,浙江省杭州市临平区浙江省杭州市余杭区,120.26718,30.4373,余杭区,幼儿园
228,闻莺教育集团星华幼儿园,浙江省杭州市余杭区莫干山路2164,120.05191,30.37567,余杭区,幼儿园
229,余杭区临平第三幼儿园,浙江省杭州市临平区后横弄6,120.297996,30.423439,余杭区,幼儿园
230,杭州市闲林职高教育集团附属幼儿园,浙江省杭州市余杭区方家山路125号,119.9775,30.22303,余杭区,幼儿园
231,星桥中心幼儿园,浙江省杭州市临平区星源路71号,120.253315,30.396063,余杭区,幼儿园
232,余杭区杭运幼儿园杭行路园区,浙江省杭州市余杭区良渚街道好运路,120.10923,30.35049,余杭区,幼儿园
233,乔司第二幼儿园世纪园区,浙江省杭州市临平区锦良路1东南方向147米,120.27734,30.39456,余杭区,幼儿园
234,余杭区南苑街道中心幼儿园,浙江省杭州市临平区南苑街道2组金家角48号,120.30502,30.3762,余杭区,幼儿园
235,临平第二幼儿园红丰园区,浙江省杭州市临平区临平三号桥南,120.30341,30.43774,余杭区,幼儿园
236,杭州市余杭区临平第三幼儿园西安分园,浙江省杭州市临平区西安新苑·东区140,120.29193,30.39842,余杭区,幼儿园
237,杭州余杭区百丈镇中心幼儿园,浙江省杭州市余杭区百兴路211号,119.725528,30.527347,余杭区,幼儿园
