,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
28,101.0,118.0,178.0,3181.0,义乌市后宅街道何界幼儿园,后宅街道何界新村37幢,120.0403057,29.37074543,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A11000038DE6A5E94025E40401B1C2CE95E3D40,120.04033928519901,29.370756466643424,"                format_address2
0  浙江省金华市义乌市后宅街道何界幼儿园(支路三店)北站三区"
29,105.0,122.0,182.0,3215.0,德清县乐乐幼儿园,德清县武康街道万马路177号,119.9524654,30.54149408,湖州市,德清县,武康街道,幼儿园,330521.0,学前教育,,01010000208A110000788E7931F5FC5D40E093245B9F8A3E40,119.95244462591236,30.541556471925983,"           format_address2
0  浙江省湖州市德清县武康街道乐乐幼儿园(万马路)"
30,109.0,127.0,189.0,3325.0,宁波市海曙区石碶波波幼儿园,宁波市海曙区石碶街道栎社车站新村128号,121.4789847,29.81062187,宁波市,海曙区,石碶街道,幼儿园,330203.0,学前教育,,01010000208A110000A89590AFA75E5E4080E423EA84CF3D40,121.47897506523366,29.810610005308394,"               format_address2
0  浙江省宁波市海曙区石碶街道栎社街189号石矸波波幼儿园"
31,111.0,129.0,191.0,3359.0,义乌市后宅街道遗安幼儿园,义乌市后宅街道城北路166号,120.0611191,29.35322179,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A11000050EA1560E9035E40602B51BE6C5A3D40,120.06098103620268,29.353307072073427,"              format_address2
0  浙江省金华市义乌市后宅街道城北路j180号遗安幼儿园"
32,116.0,134.0,198.0,3461.0,义乌市北苑街道小博士幼儿园,浙江省金华市义乌市北苑街道凌云三区62幢,120.0474354,29.35960166,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A110000A05E662E09035E40102CC6DA0E5C3D40,120.04748996752058,29.359542954630438,"                 format_address2
0  浙江省金华市义乌市北苑街道小博士幼儿园(环城北路)凌云3区"
33,118.0,136.0,200.0,3473.0,宁波市海曙区高桥镇博爱幼儿园,宁波市海曙区高桥镇望春迎春路497号,121.4958901,29.88143353,宁波市,海曙区,高桥镇,幼儿园,330203.0,学前教育,,01010000208A11000050A8E5A9BC5F5E4030D5C5A0A5E13D40,121.4958939683137,29.881437162989073,"          format_address2
0  浙江省宁波市海曙区高桥镇博爱幼儿园(迎春路)"
34,119.0,137.0,201.0,3482.0,宁波市海曙区高桥镇新芽幼儿园,宁波市海曙区高桥镇长乐村博爱路66号,121.4997984,29.89315656,宁波市,海曙区,高桥镇,幼儿园,330203.0,学前教育,,01010000208A110000483F59B2FC5F5E40F04A94E8A5E43D40,121.49992037098329,29.89306367046095,"              format_address2
0  浙江省宁波市海曙区高桥镇博爱路海曙区高桥镇新芽幼儿园"
35,123.0,141.0,205.0,3543.0,宁波市海曙区古林镇同萌幼儿园,宁波市海曙区古林镇施家村忠义房139号,121.4351271,29.83385929,宁波市,海曙区,古林镇,幼儿园,330203.0,学前教育,,01010000208A110000108D401FD95B5E4080215FCD77D53D40,121.43525202141733,29.83390711911617,"                        format_address2
0  浙江省宁波市海曙区古林镇古林派出所同萌幼儿园警务联络点古林金色针织漂染厂"
36,130.0,149.0,216.0,3700.0,义乌市稠江天成幼儿园,义乌市稠江街道龙回一区20幢,120.0161965,29.29548596,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A110000C8E22E5D09015E408009BEF7A44B3D40,120.01622215852956,29.295546156662763,"          format_address2
0  浙江省金华市义乌市稠江街道天成幼儿园龙回2区"
37,131.0,150.0,217.0,3751.0,义乌市义亭中洋幼儿园,义乌市义亭鲍宅村,119.972783,29.23561036,金华市,义乌市,义亭镇,幼儿园,330782.0,学前教育,,01010000208A1100003812A51342FE5D4090FAF7F5503C3D40,119.97268521594866,29.235660861189462,"     format_address2
0  浙江省金华市义乌市义亭镇中洋幼儿园"
38,137.0,156.0,227.0,3949.0,杭州市余杭区白马幼儿园,杭州市余杭区闲林街道白马山庄花语轩8幢,120.0089646,30.21946664,杭州市,余杭区,闲林街道,幼儿园,330110.0,学前教育,,01010000208A11000080981FE092005E4070A83DF72E383E40,120.00904686101103,30.219444382053474,"        format_address2
0  浙江省杭州市余杭区闲林街道白马山庄花语轩"
39,142.0,161.0,232.0,4000.0,义乌市金麟花园幼儿园,浙江省义乌市廿三里街道金麟花园,120.155804,29.33134033,金华市,义乌市,廿三里街,幼儿园,330782.0,学前教育,,01010000208A110000109940B1F8095E40A04F3CB8D2543D40,120.15595891771274,29.33134629746396,"      format_address2
0  浙江省金华市义乌市廿三里街道金麟花园"
40,143.0,162.0,233.0,4006.0,宁波海曙中心小学,宁波市海曙区孝闻街8号,121.5393759,29.87700931,宁波市,海曙区,鼓楼街道,小学,330203.0,初等教育,,01010000208A110000D0665D2285625E40D0BCA0AE83E03D40,121.53933758563697,29.87700488482207,"       format_address2
0  浙江省宁波市海曙区鼓楼街道海曙中心小学"
41,149.0,169.0,248.0,4138.0,德清县阳光幼儿园,德清县武康街道阳光花园22幢,119.9765018,30.53607248,湖州市,德清县,武康街道,幼儿园,330521.0,学前教育,,01010000208A11000038FA77017FFE5D40B0B4B80B3C893E40,119.97633124151322,30.536149337557408,"              format_address2
0  浙江省湖州市德清县武康街道云岫南路47号昇华阳光花园"
42,150.0,170.0,249.0,4153.0,义乌市义亭镇中心幼儿园,浙江省义乌市义亭镇双塘路606号,119.9514036,29.24504003,金华市,义乌市,义亭镇,幼儿园,330782.0,学前教育,,01010000208A1100009874E7CBE3FC5D40900F83F1BA3E3D40,119.95133511471045,29.24479249479888,"        format_address2
0  浙江省金华市义乌市义亭镇义亭镇中心幼儿园"
43,151.0,171.0,254.0,4252.0,义乌市北苑金典幼儿园,义乌市北苑街道畈东村175栋,120.0234318,29.31570456,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A110000E07D06E87F015E4070B19C03D2503D40,120.02343727629487,29.315687076412544,"          format_address2
0  浙江省金华市义乌市北苑街道金典幼儿园畈东小区"
