,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
155,6702.0,杭州市竞舟小学,浙江省杭州市西湖区竞舟路221号,120.0983227,30.28661627,杭州市,西湖区,文新街道,小学,330106.0,初等教育,,01010000208A110000D0C518EB4A065E40D05423AF5F493E40,120.09836,30.2866,杭州市西湖区竞舟路221杭州市竞舟小学
156,6710.0,宁波市海曙第二外国语学校,宁波市海曙区乌含巷18号,121.53708,29.878871,宁波市,海曙区,鼓楼街道,九年一贯制学校,330203.0,中等教育,,01010000208A11000078D5CA845F625E4020679AB0FDE03D40,121.537001087,29.8789815870001,宁波市海曙区乌含巷18号宁波市海曙第二外国语学校
157,6720.0,德清县乾元镇清溪小学,德清县乾元镇县东街52号,120.0845384,30.55047986,湖州市,德清县,乾元镇,小学,330521.0,初等教育,,01010000208A110000C0FA871369055E4000837F3FEC8C3E40,120.08454,30.55052,湖州市德清县县街52清溪小学
158,6769.0,杭州市余杭蔚澜学校,余杭区高教路968-6,120.022336,30.276132,杭州市,余杭区,五常街道,九年一贯制学校,330110.0,中等教育,,01010000208A1100008061F9F36D015E4010613596B0463E40,120.022292177,30.2762655060001,杭州市余杭区蔚澜学校文澜未来科技城学校
159,6798.0,杭州市袁浦小学,浙江省杭州市西湖区双浦镇兰溪口村1号,120.1164813,30.11727728,杭州市,西湖区,双浦镇,小学,330106.0,初等教育,,01010000208A11000058CF1C6E74075E40800C4FE2051E3E40,120.11655,30.1171,杭州市西湖区双浦镇兰溪口村1号杭州市袁浦小学
160,6817.0,义乌市福田鑫苑幼儿园,义乌市福田诚信一区53幢1号,120.10947,29.349477,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A1100002879758E01075E4040B41D5377593D40,120.109584,29.349506,金华市义乌市诚信一区53幢1号鑫苑幼儿园
161,6915.0,杭州市余杭区金成外国语小学,浙江省杭州市余杭区闲林街道华丰社区,120.007659,30.237669,杭州市,余杭区,闲林街道,小学,330110.0,初等教育,,01010000208A11000048A12C7C7D005E40E04526E0D73C3E40,120.00767,30.23751,杭州市余杭区天目山路203金成外国语小学
162,6932.0,义乌市稠江街道快乐天使幼儿园,义乌市稠江街道永祥社区楼下村路48-50号,120.052119,29.287512,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A1100000020EEEA55035E402035ED629A493D40,120.05206,29.28755,金华市义乌市楼下村路48~50号快乐天使幼儿园
163,6961.0,宁波荣安实验中学,宁波市海曙区气象路189号,121.514668,29.862147,宁波市,海曙区,段塘街道,完全中学,330203.0,中等教育,,01010000208A11000010130D52F0605E40305871AAB5DC3D40,121.51468,29.8623700000001,宁波市海曙区气象路189号宁波荣安实验中学
164,6979.0,杭州市西溪中学,浙江省杭州市西湖区文三西路668号,120.0858051,30.27776133,杭州市,西湖区,蒋村街道,初级中学,330106.0,中等教育,,01010000208A11000030BD91D47D055E400026D05D1B473E40,120.08579,30.277754,杭州市西湖区文三西路668号杭州市十五中(西溪中学)
165,7052.0,义乌市北苑新思维幼儿园,浙江省金华市义乌市北苑街道丹溪二区32幢,120.054554,29.326152,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A11000070770FD07D035E4060868DB27E533D40,120.054659,29.32621,金华市义乌市丹溪二区32幢新思维幼儿园
166,7080.0,义乌市福田下华店幼儿园,义乌市福田下华店村,120.14002,29.342766,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A11000050327216F6085E40402E3883BF573D40,120.140147,29.342782,金华市义乌市下华店村5号下华店幼儿园
167,7084.0,德清县三合中心学校,浙江省德清县下渚湖街道八字桥集镇校园路38号,120.0300032,30.47778228,湖州市,德清县,下渚湖街,九年一贯制学校,330521.0,中等教育,,01010000208A110000B0D96F92EB015E40D05276F04F7A3E40,120.03006,30.47786,湖州市德清县校园街38德清县三合中心学校
168,7108.0,宁波市海曙区洞桥镇宁锋小学,浙江省宁波市海曙区洞桥镇潘沙路1158号,121.409376,29.759544,宁波市,海曙区,洞桥镇,小学,330203.0,初等教育,,01010000208A11000018F16437335A5E4080DFBF7971C23D40,121.40923,29.7596800000001,宁波市海曙区洞桥镇宁锋小学
169,7126.0,宁波市华天小学,浙江省宁波市国丰街70号,121.5135929,29.86945547,宁波市,海曙区,白云街道,小学,330203.0,初等教育,,01010000208A1100003050C2B4DE605E40F0AE34A294DE3D40,121.5136,29.86946,宁波市海曙区国丰街70宁波市华天小学
170,7133.0,杭州市余杭区塘栖第二中学,浙江省杭州市余杭区塘栖镇东小河社区,120.185057,30.483259,杭州市,余杭区,塘栖镇,初级中学,330110.0,中等教育,,01010000208A11000058B950F9D70B5E40607FA0DCB67B3E40,120.18512,30.48323,杭州市临平区里仁路28塘栖第二中学
171,7206.0,杭州市余杭区仁和中心小学,杭州市余杭区仁和街道求学路2号,120.083216,30.447911,杭州市,余杭区,仁和街道,小学,330110.0,初等教育,,01010000208A11000040A0336953055E40C084984BAA723E40,120.08322,30.44788,杭州市余杭区求学路1号西南方向67米仁和中心小学
172,7216.0,义乌市稠江中心幼儿园,义乌市稠江街道松门里社区枫华路100号,120.040505,29.303252,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A110000C89448A297025E4050724EECA14D3D40,120.04051,29.30328,金华市义乌市枫华路100义乌市稠江中心幼儿园
173,7280.0,宁波市尹江岸小学,宁波市海曙区甬水桥路65号,121.5342035,29.85756554,宁波市,海曙区,南门街道,小学,330203.0,初等教育,,01010000208A110000D8DAC86330625E40F04B3B6A89DB3D40,121.53421,29.85757,宁波市海曙区三市路201临尹江岸小学
174,7298.0,德清县新市镇第一幼儿园,浙江省湖州市德清县新市镇南昌社区居委会,120.2894531,30.61630656,湖州市,德清县,新市镇,幼儿园,330521.0,学前教育,,01010000208A110000D8E6246686125E40A0EB3E44C69D3E40,120.28946,30.61626,湖州市德清县德清县新市镇第一幼儿园
175,7340.0,杭州市余杭区良福幼儿园,杭州市余杭区乔司街道良熟村,120.277642,30.384199,杭州市,余杭区,乔司街道,幼儿园,330110.0,学前教育,,01010000208A110000C07FF3E2C4115E40F0279CDD5A623E40,120.277628,30.384221,杭州市临平区良熟村村委旁良福幼儿园
176,7420.0,义乌市江东街道嘉鸿幼儿园,江东二小区嘉鸿路200号,120.091563,29.308938,金华市,义乌市,江东街道,幼儿园,330212.0,学前教育,,01010000208A11000080A10E2BDC055E40E07D8E8F164F3D40,120.0914,29.30908,金华市义乌市嘉鸿路200号嘉鸿幼儿园
177,7473.0,义乌市前洪小学,义乌市北苑街道前洪村前洪小学,120.0188645,29.32725138,金华市,义乌市,北苑街道,小学,330782.0,初等教育,,01010000208A110000C8839C1335015E40C0AB16BFC6533D40,120.01887,29.32725,金华市义乌市北苑街道前洪村前洪小学
178,7490.0,义乌市城西街道益公山幼儿园,义乌市城西街道益公山西区9幢,119.979597,29.294116,金华市,义乌市,城西街道,幼儿园,,学前教育,,01010000208A110000A0909DB7B1FE5D40F03AA92F4B4B3D40,119.97957,29.29421,金华市义乌市益公山西区5幢益公山幼儿园
179,7569.0,义乌市稠江街道启苗幼儿园,义乌市稠江街道宏迪路20号,120.058191,29.302318,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A110000F87ABE66B9035E4000FE62B6644D3D40,120.0581,29.30214,金华市义乌市宏迪路20启苗幼儿园东门
180,7600.0,义乌市北苑街道小红花幼儿园,浙江省金华市义乌市北苑街道柳青一区11幢,120.043852,29.344402,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A11000050779E78CE025E4050ADBEBA2A583D40,120.0437,29.34446,金华市义乌市小红花幼儿园
181,7624.0,义乌市江湾小学,义乌市富港大道F501号,120.022995,29.265234,金华市,义乌市,稠江街道,小学,330782.0,初等教育,,01010000208A110000303E05C078015E4090C91B60E6433D40,120.0229,29.26532,金华市义乌市江湾小学
182,7631.0,义乌市东河小学,浙江省义乌市城西街道东河工商街61号,119.986635,29.311625,金华市,义乌市,城西街道,小学,330782.0,初等教育,,01010000208A110000B085200725FF5D40B09DEFA7C64F3D40,119.9866,29.31135,金华市义乌市城西街道东河工商街2号正西方向78米东河小学
