,name,address,point_x,point_y,specify,dataType,gd_point_x,gd_point_y
145,余杭区凤凰幼儿园,浙江省杭州市余杭区城东路7正东方向180米,119.94916,30.25508,余杭区,幼儿园,119.953845,30.252285
146,杭州市阳光宝贝方汇幼儿园,浙江省杭州市余杭区城南路322方汇花苑,119.94286,30.25881,余杭区,幼儿园,119.94751,30.256082
147,径山镇中心幼儿园,浙江省杭州市余杭区吴山路5号,119.866984,30.38844,余杭区,幼儿园,119.878523,30.378574
148,西塘河幼儿园,浙江省杭州市余杭区西塘河村11组新塘苑39号,120.06571,30.369,余杭区,幼儿园,120.070474,30.366708
149,启蒙爵士风情幼儿园,浙江省杭州市余杭区爵士风情花园日辉苑15幢,119.98733,30.23884,余杭区,幼儿园,119.991821,30.236592
150,杭州市余杭区西塘雅苑幼儿园白洋里园区,浙江省杭州市余杭区浙江省杭州市余杭区,120.07634,30.348933,余杭区,幼儿园,120.081002,30.346738
151,余杭区贝贝幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,120.00341,30.2356,余杭区,幼儿园,120.00796,30.232865
152,杭州市余杭区荀山幼儿园,浙江省杭州市余杭区莫干山路2859,120.037,30.38209,余杭区,幼儿园,120.04166,30.379699
153,绿城育华瑞和幼儿园,浙江省杭州市余杭区良渚街道瑞和园小区南面,120.04683,30.36948,余杭区,幼儿园,120.051419,30.367231
154,余杭区鸬鸟镇中心幼儿园,浙江省杭州市余杭区雅城106东南方向165米,119.75464,30.4553,余杭区,幼儿园,119.759536,30.452854
155,杭州市余杭区3之3闲湖城幼儿园,浙江省杭州市余杭区闲林中路2西南方向59米,119.98662,30.2236,余杭区,幼儿园,119.991566,30.221415
156,闲林白洋畈幼儿园,浙江省杭州市余杭区圣地路12-1正东方向100米,119.97348,30.233832,余杭区,幼儿园,119.978331,30.230507
157,瓶窑镇第一幼儿园,浙江省杭州市余杭区凤溪路349,119.96705,30.393,余杭区,幼儿园,119.972026,30.390058
158,余杭区南湖幼儿园教育集团南安分园,浙江省杭州市余杭区余杭街道南安路58号,119.93621,30.27155,余杭区,幼儿园,119.940808,30.269013
159,江南春·闲林山水幼儿园,浙江省杭州市余杭区闲林镇闲林山水,120.0096,30.23633,余杭区,幼儿园,120.014402,30.233867
160,杭州市余杭区金舟城幼儿园,浙江省杭州市余杭区径东路43,119.85191,30.33972,余杭区,幼儿园,119.856694,30.337472
161,杭州英联幼儿园,浙江省杭州市余杭区春漫里60幢2单元303西南方向98米,120.0203,30.3608,余杭区,幼儿园,120.024724,30.358497
162,云会中心小学,浙江省杭州市余杭区西南山北路66号,120.08525,30.42253,余杭区,小学,120.089679,30.420385
163,杭行路小学运河校区,浙江省杭州市余杭区浙江省杭州市余杭区,120.11144,30.35984,余杭区,小学,120.115747,30.356963
164,杭州市余杭区良渚七贤小学,浙江省杭州市余杭区杭州市余杭区良渚街道浥浪桥2号,120.011795,30.349442,余杭区,小学,120.01696,30.346813
165,东塘中心小学,浙江省杭州市余杭区学德路5号,120.11069,30.45527,余杭区,小学,120.128065,30.456758
166,东风小学,浙江省杭州市余杭区浙江省杭州市余杭区,120.07625,30.4376,余杭区,小学,120.079889,30.434835
167,良渚第一小学,浙江省杭州市余杭区良渚东方西路121号,120.04428,30.37917,余杭区,小学,120.049658,30.376123
168,余杭镇凤凰小学(城南校区),浙江省杭州市余杭区城南路352号,119.940797,30.25833,余杭区,小学,119.945545,30.256035
169,北湖中心小学,浙江省杭州市余杭区浙江省杭州市余杭区,119.948588,30.390855,余杭区,小学,119.953611,30.389068
170,金成外国语小学,浙江省杭州市余杭区天目山路203,120.00767,30.23751,余杭区,小学,120.011903,30.235132
171,瓶窑镇长命中心小学,浙江省杭州市余杭区瓶窑镇长命村,120.000933,30.387265,余杭区,小学,120.006258,30.385026
172,余杭区未来科技城海曙小学,浙江省杭州市余杭区浙江省杭州市余杭区,120.02669,30.29358,余杭区,小学,120.031616,30.291188
173,径山镇双溪中心小学,浙江省杭州市余杭区浙江省杭州市余杭区,119.82157,30.40987,余杭区,小学,119.826498,30.407488
174,仓前中心小学吴山校区,浙江省杭州市余杭区浙江省杭州市余杭区,119.97466,30.318644,余杭区,小学,119.979562,30.316373
175,杭州师范大学附属仓前实验小学,浙江省杭州市余杭区浙江省杭州市余杭区,119.98737,30.29173,余杭区,小学,119.990956,30.288918
176,余杭区良渚第三小学,浙江省杭州市余杭区浙江省杭州市余杭区,120.00932,30.40753,余杭区,小学,120.013137,30.404767
177,余杭区鸬鸟镇中心小学,浙江省杭州市余杭区鸬鸟镇横山头村雅城,119.75334,30.4549,余杭区,小学,119.779731,30.46649
178,余杭区黄湖镇中心小学,浙江省杭州市余杭区迂前南路13,119.80802,30.44429,余杭区,小学,119.811832,30.441947
179,余杭区大禹小学,浙江省杭州市余杭区城东路198号,119.94849,30.26593,余杭区,小学,119.953286,30.262493
180,仁和中心小学,浙江省杭州市余杭区求学路1号西南方向67米,120.08322,30.44788,余杭区,小学,120.088205,30.446505
181,杭行路小学谢村校区,浙江省杭州市余杭区浙江省杭州市余杭区,120.126292,30.346338,余杭区,小学,120.129573,30.344068
182,闲林中心小学里项校区,浙江省杭州市余杭区浙江省杭州市余杭区,119.98811,30.20663,余杭区,小学,119.992499,30.204392
183,杭州市余杭区径山镇潘板中心小学,浙江省杭州市余杭区杭州市余杭区径山镇潘板求塘东2-1号,119.873403,30.376393,余杭区,小学,119.877927,30.373752
184,余杭区良渚第二中学,浙江省杭州市余杭区良渚镇勾庄棕榈路103号,120.08632,30.36316,余杭区,中学,120.090344,30.361357
185,径山中学,浙江省杭州市余杭区径山镇,119.87363,30.379049,余杭区,中学,119.878579,30.37727
186,五常中学,浙江省杭州市余杭区浙江省杭州市余杭区,120.038191,30.275474,余杭区,中学,120.043664,30.271963
187,余杭中学,浙江省杭州市余杭区文一西路2228号,119.959719,30.268078,余杭区,中学,119.964351,30.266627
188,杭州蒲公英学校,浙江省杭州市余杭区长命村,119.999317,30.385051,余杭区,中学,120.005226,30.383059
189,杭州市余杭文昌高级中学,浙江省杭州市余杭区余杭镇,119.926127,30.276787,余杭区,中学,119.930527,30.275387
190,闲林中学,浙江省杭州市余杭区方家山路125正北方向122米,119.97796,30.22197,余杭区,中学,119.981578,30.219322
191,杭州余杭东方未来学校,浙江省杭州市余杭区王家塘路28东南方向79米,120.078218,30.347428,余杭区,中学,120.083896,30.34627
192,余杭区良渚第一中学,浙江省杭州市余杭区浙江省杭州市余杭区,120.03467,30.37867,余杭区,中学,120.038462,30.375043
193,杭州英特外国语学校,浙江省杭州市余杭区上和路1,119.96971,30.24503,余杭区,中学,119.973799,30.241328
194,杭州师大附属仓前实验中学,浙江省杭州市余杭区仓兴街348-1,119.988403,30.291937,余杭区,中学,119.993555,30.290749
195,仁和中学,浙江省杭州市余杭区仁河大道1-3,120.083625,30.450953,余杭区,中学,120.089379,30.448591
196,杭州市瓶窑中学,浙江省杭州市余杭区里窑街150号,119.958096,30.396131,余杭区,中学,119.962598,30.394385
197,余杭区太炎中学,浙江省杭州市余杭区凤新路81,119.9353,30.26282,余杭区,中学,119.939362,30.261266
198,瓶窑第一中学,浙江省杭州市余杭区瓶窑镇瓶仓大道沿山路口,119.971168,30.372625,余杭区,中学,119.975681,30.371263
199,黄湖中学,浙江省杭州市余杭区兴黄路一号,119.808385,30.443855,余杭区,中学,119.811432,30.441047
200,中国人民大学附属中学杭州学校,浙江省杭州市余杭区浙江省杭州市余杭区,119.91414,30.248,余杭区,中学,119.92066,30.245206
201,良山学校棕榈湾校区,浙江省杭州市余杭区良渚镇勾庄丁公村三源印刷有限公司旁东南方向31米,120.07696,30.36592,余杭区,中学,120.081845,30.363738
202,浙江外国语学院实验学校,浙江省杭州市余杭区凤新路81,119.9353,30.26282,余杭区,中学,119.940088,30.260153
203,杭州绿康介护职业学校,浙江省杭州市余杭区龙潭路6,119.98294,30.2789,余杭区,中专,119.987226,30.276692
204,杭州市良渚职业高级中学,浙江省杭州市余杭区莫干山路2347,120.04743,30.37837,余杭区,中专,120.051288,30.375627
